Start,End,Marker
116059,116082,4PTEL04
129376708,129376740,ATA26B08
13749396,13749427,AFM157xg3
13925101,13925145,ATT015
140830396,140830455,GATA11E09
166361917,166361964,GATA138G03
167795220,167795263,GATA27G03
173048403,173048426,TAGA049
179247475,179247518,GATA42H02
182055350,182055377,AATA045
185436713,185436745,ATT077P
187466867,187466902,GATA129D03
189163239,189163282,GATA5B02
21112026,21112073,GATA70E01
27256299,27256334,ATA27C07
2750398,2750433,AAT246
35702558,35702585,GATA72G09
40136344,40136395,ATCT018
44176861,44176900,GATA7D01
46925715,46925759,ATA21F01
59155877,59155928,GATA28F03
6483114,6483141,GATA22G05
67417171,67417202,GATA24H01
84084360,84084398,ATA2A03
98513862,98513909,GATA2F11
