Start,End,Marker
102456547,102456594,GATA68D03
10321694,10321741,ATCT053
115881041,115881072,TTTA033
117683570,117683629,GATA68F07
11967612,11967651,GATA178C11
121173324,121173350,ATA34G06
140306849,140306881,ATA85B10
150445317,150445358,AAT071
164339473,164339496,ATA21H07
167521964,167522019,GATA3H01
172033175,172033210,GATA92B06
176067131,176067168,GATA22F11
186505713,186505750,AFM059xa9
186993557,186993604,TTTA040
188603024,188603065,ATA57D10
189703428,189703463,GATA6G12
190825836,190825879,GGAA22B10
192599255,192599284,ATA22E01
194893690,194893733,CTAT012
197291301,197291340,AFM254ve1
197922714,197922745,MFD427-AAAT028
21908122,21908173,GATA73D01
32123792,32123839,GATA27C08
34582929,34582964,GATA8B05
38341361,38341384,AAT264
4007471,4007524,AFM217xd6
4271467,4271518,GATA131D09
49380675,49380719,ATA10H11
52277067,52277102,TAT024
56103744,56103787,GATA87B02
58995976,58996023,GATA6F06
62522096,62522151,AGAT128
64770681,64770712,AFMb318yf1
67969585,67969611,AAC023
77467588,77467631,GATA146D07
85803499,85803534,GATA128C02
