Start,End,Marker
10698480,10698539,GATA23F06
111352964,111353055,GGAA7G08
117827087,117827138,GATA23E06
120446199,120446237,AAT228
127052941,127052985,TAA003
131002510,131002561,GATA117D01
132716391,132716454,UT2095
133365025,133365082,AFM205vf10
134296837,134296863,ATA27C11
1545667,1545714,GGAA17G05
17064692,17064763,GATA48E02
19259619,19259719,GATA73B08
25915477,25915515,ATA34E08
25972877,25972915,ATA25D12
31341383,31341438,GATA29B11
34618597,34618644,GATA6B09
43588595,43588637,ATA1B07
4890980,4891024,ATA33B03
56438411,56438454,GATA63F09
56747184,56747216,ATA9B04
59468671,59468726,GATA12F04
59954630,59954669,GATA46A12
63293966,63294001,AAT268
67096614,67096652,TTA008
73794185,73794228,GATA90D07
77415979,77415996,AAT265
80254523,80254566,GATA30G01
8799921,8799968,AAT224
89194651,89194682,TCTA025
96978550,96978597,GATA35
