Start,End,Marker
100904673,100904700,GATA136F05
104226082,104226125,ATA11D10
112557952,112558018,GATA31
11700961,11700999,AAT256
12859988,12860026,ATC4D09
130664700,130664735,GATA23F08
136981094,136981137,GATA32B03
13946141,13946182,ATA50C05
147646027,147646074,GATA184A08
149901917,149901980,TATC050z
153815170,153815209,GATA165G02
159606138,159606185,ATA6C09P
161774385,161774432,AFM242zg5
163379386,163379433,TAT026
163876764,163876833,GATA81B01
168809289,168809327,ATA22G07
170281881,170281920,ATGA020
19911897,19911940,GATA29A01
24306495,24306574,GATA163B10
28676888,28676932,ATA12D05P
36665328,36665382,GATA61E03
39058643,39058669,ATC033
41709530,41709569,GGAT3H10
46212089,46212140,TAAA014
50675961,50676004,GATA11E02
6321376,6321395,SE30
63880465,63880530,GATA64D02
72700292,72700335,GATA11B08
76751684,76751728,ATA28B11
7692787,7692828,TTA032Z
820547,820598,UT654
84873680,84873727,GATA112F02
91740225,91740272,GATA30A08
93387933,93387976,GATA68H04
9432125,9432164,ATTT030
