Start,End,Marker
104540619,104540650,GATA113H03
105738923,105738974,GATA133A08
106421092,106421130,ATA25E07
106533134,106533178,ATA42G12
10927531,10927560,AAT238
113083998,113084042,AAT252
114197570,114197621,GGAA20F08
13457800,13457839,GATA27E01
157963008,157963055,GATA43A04
160473946,160473990,ATA73A08
16213729,16213772,TTTA063
163590026,163590085,GGAA22G10
165879546,165879573,ATA38A05
174292022,174292057,ATA4E02
17457258,17457297,GATA29A05
181056365,181056403,AAT200
18463029,18463061,ATA008
202588825,202588872,AGAT141
203562829,203562876,GGAA23C07
20585468,20585509,ATA47D07
216547254,216547277,GAT004
231814939,231814980,ATA29C07
238662240,238662287,AATA011
240616738,240616781,GATA22D12
233345727,233345762,ATA009
247763027,247763066,TTTA049
247967046,247967065,AFMa272xc9
29838139,29838177,ATA20F08
32360848,32360895,AGAT135
34087614,34087658,ATA79C10
51173964,51174007,AGAT017
53798141,53798185,AAT258
59264720,59264767,GATA26G09
63839347,63839402,AGAT143
6404711,6404758,MFD424-TTTA003
7082441,7082492,GATA23G09
85824904,85824939,AAT259
