Start,End,Purity
68619,68643,0.92
180740,180800,0.954545454545
180804,180847,1
180914,180998,0.965
181578,181602,0.96
201386,201414,0.933333333333
960808,960833,0.923
1256886,1256911,0.961538461538
1259012,1259037,0.923
1285956,1285981,0.923076923077
1324057,1324082,0.923
1349508,1349533,0.962
1422245,1422270,0.923
1449134,1449168,0.914285714286
1449260,1449292,0.909090909091
1449353,1449385,0.939393939394
1472102,1472130,0.931
1512499,1512524,0.923
1540606,1540639,0.941176470588
1540658,1540682,0.96
1658919,1658950,0.96875
1723493,1723528,0.944444444444
1766415,1766454,0.95
1766679,1766703,0.92
1803983,1804011,0.965517241379
1919189,1919223,1
2018335,2018397,0.952380952381
2074870,2074895,0.923076923077
2388776,2388804,0.931034482759
2389114,2389139,0.923076923077
2431133,2431162,0.9
2431248,2431277,0.9
2556549,2556573,1
2629029,2629057,1
3067427,3067451,0.96
3069057,3069081,1
3751984,3752011,0.964
3753307,3753340,0.941176470588
3797844,3797868,1
3856814,3856839,0.923
4653752,4653781,0.9
6040258,6040282,0.92
6106861,6106885,1
6106895,6106950,0.946
6107524,6107548,0.92
6107845,6107870,0.923076923077
6107872,6107912,0.90243902439
6107957,6107981,0.96
6108035,6108075,0.90243902439
6108353,6108377,0.92
6108579,6108613,0.914
6108664,6108700,0.946
6108745,6108770,0.923
6204529,6204556,0.928571428571
6237218,6237243,0.923076923077
6255639,6255670,0.90625
6463726,6463755,0.966666666667
6518560,6518588,0.931034482759
6555864,6555889,0.961538461538
6556390,6556414,0.92
6570020,6570050,0.9375
6586899,6586925,0.925925925926
6598575,6598600,0.961538461538
6613202,6613226,1
7775329,7775365,0.946
7854848,7854878,0.935483870968
7934708,7934741,0.941176470588
7936417,7936456,0.95
7941905,7941932,0.964
7963377,7963401,0.92
8322329,8322359,0.967741935484
8496508,8496532,0.92
8498696,8498723,0.964285714286
8498737,8498771,0.944444444444
8625125,8625157,0.939
8656263,8656288,1
8874578,8874620,0.93023255814
8875298,8875322,0.96
8944565,8944593,0.931
8946792,8946821,0.933333333333
9026887,9026912,1
9070066,9070099,0.941176470588
9129684,9129711,0.929
9587167,9587200,0.941176470588
9588831,9588911,0.901234567901
9710658,9710682,0.964285714286
9710779,9710803,0.96
9823780,9823806,0.963
9995702,9995733,0.906
10031873,10031900,0.928571428571
10230429,10230453,0.92
10231379,10231403,0.96
10473656,10473687,0.90625
10693495,10693523,0.965517241379
10694585,10694622,1
10963388,10963419,0.9375
10975410,10975439,0.933333333333
10981460,10981493,0.911764705882
10983046,10983095,0.94
11057460,11057484,0.96
11058562,11058586,0.92
11533250,11533275,0.961538461538
