Start,End,Marker
12603733,12603780,GATA81E09
15317483,15317526,GATA129B03
15623680,15623719,AGAT139
16641475,16641551,GATA142C02
22431576,22431623,GATA29F06
3484910,3484948,AAT247
34877912,34877943,GATA65E01
40168251,40168310,GATA90E02
42017971,42018018,ATCT035
4525695,4525750,GATA51D03
49340138,49340179,AAT269
49921148,49921191,TATT031
53240722,53240773,GATA45B10
578655,578686,AFM077xd3
58089576,58089659,UT254
58248340,58248387,TTTA093
5839487,5839526,AGAT136
58478365,58478384,UT1772
7345633,7345695,GATA72E11
8881330,8881359,AFMa218yb5
9558008,9558071,ATTC013
