Start,End,Marker
11500512,11500538,ATA10H10
12045611,12045646,ATA3A07
14241965,14242011,AAT226
18159474,18159481,GATA42E11
181983,182004,16PTEL06
19487703,19487758,TTAT023z
1951727,1951771,ATA67B07
23026350,23026395,AFM049xd2
26147509,26147567,GATA71H05
51158516,51158555,ATA55A11
53108514,53108561,GATA151C03
54752773,54752812,GATA22F09
57320483,57320521,ATA103C03
59859096,59859137,AAT107
616334,616365,TTTA028
62079635,62079682,GATA138C05
63764317,63764372,GATA140E03
76041988,76042043,TCTA026
79090282,79090316,AFM350vd1
80659052,80659099,GATG013
8321631,8321682,GATA5H07
83734728,83734754,ATA063
84684173,84684220,GATA86C08
87939967,87939994,GATA71F09
