Start,End,Marker
105246622,105246684,AGAT122
110700753,110700828,GATA68A03
114883109,114883160,GATA73D11
118754652,118754693,AAT255
119766051,119766136,GATA62A04
127341,127379,ATA20G07
133616311,133616354,GATA51D11
135965980,135966019,GATA2H09
140925642,140925677,ATA092
147598426,147598491,GATA139B09
15555795,15555822,ATAG078
156695484,156695571,GATA6E05
169605574,169605609,GATA11A11
173821435,173821474,Mfd154
173904973,173905017,AAT013
180452869,180452908,AAAT072
180561358,180561393,AFM164xb8
181146273,181146311,ATT079
22390576,22390623,GATA134B03
33827712,33827759,GATA63C02
3424568,3424635,GATA145D10
41033785,41033822,GATA21D04
4657419,4657446,AAAT111
54003666,54003717,AGAT030
5817163,5817225,GATA84E11
59401444,59401487,GATA67D03
72106083,72106126,GATA138B05
72923517,72923568,TAGA010
79172658,79172701,GATA52A12
82800268,82800335,GATA142H05
84249378,84249429,GATA51A07
8546291,8546326,AAT248
89870841,89870876,GATA89G08
91694675,91694766,GATA12G02
