Start,End,Marker
10615438,10615473,GATA8C04
10956081,10956132,GATA64B04
13213541,13213570,ATA78D02
17151011,17151043,AAT083
17361211,17361238,GATA185H04
19523226,19523246,ATA58E08Z
30055295,30055382,GGAA9D03
33625130,33625221,GATA169F02
35476457,35476520,GGAA19G04
3763307,3763338,GAAT2C03
40838189,40838240,GATA25A04
48595773,48595831,ATC6A06
57222579,57222631,AAT245
58254109,58254192,GATA49C09
6429801,6429868,GATA158H04
68551691,68551723,ATA43A10Z
70504905,70504948,GATA31B11
71901530,71901592,GATA63G01
719968,720007,GTAT1A05
74684855,74684902,GATA28D11
77606959,77607002,TTCA006M
77896284,77896328,ATA58A02
79828501,79828564,AFM044xg3
80626776,80626812,AAT095
