Start,End,Marker
104554641,104554688,GATA23F05
118196701,118196744,TTTA001
119861564,119861615,AGAT133
123649430,123649481,GGAA6D03
126714281,126714325,ATA55A05
131174955,131175010,GATA145G10
132594912,132595045,GATA43C11
13917289,13917332,TATT019
140081654,140081697,GATA63F08P
140312843,140312886,GATA32C12
144026621,144026691,GATA104
147933495,147933542,AGAT049
151870113,151870200,GATA189C06
153078950,153079001,TATG002
154776200,154776260,GATA30D09
156196433,156196460,MFD442-GTTT002
156680377,156680424,Mfd265
162284,162325,AFMb035xb9
20665727,20665808,GATA41G07
23098466,23098517,GATA137A12
27998026,27998097,GGAA3F06
32096824,32096863,GATA13G11
43327962,43327991,TAT028
49349382,49349429,GATA24D12
5591055,5591098,GATA61G06
69087372,69087641,GATA118G10
71801377,71801472,GATA21D12
7693296,7693335,TATC010
78497726,78497765,GATA73D10
83167526,83167569,GATA87D11
9435395,9435434,GATA119B03
96428307,96428411,GATA5D08
