Start,End,Marker
115644946,115644987,ATA25F09
117395940,117395979,GGAA22C05
124178477,124178528,GATA5H03
126369497,126369529,ATA080
128321139,128321180,AAT253
13021208,13021246,AAC040Z
132742185,132742220,AFMb002vd5
16862196,16862239,GATA6C01
24106792,24106839,AAT142
27494488,27494523,ATA27A06
31844542,31844589,ATA73C05
3478263,3478306,GATA4H03
38795868,38795899,GATA167C12
3906178,3906198,AAT262
43668894,43668921,GATA91H06
47390623,47390670,AGAT084
52219354,52219400,UT5029
52803345,52803372,GGAT2G06
5857776,5857819,GATA7F09
79251984,79252010,AGAT114
90429577,90429620,GATA63D12
98107193,98107240,GATA85A04
