Start,End,Marker
100627624,100627651,AAAT126
10230437,10230476,GATA187D09
103221820,103221863,GGAA22E01
105928200,105928239,GATA27Z
109869652,109869675,GGAT3G09
116731179,116731226,ATA42G04
118333575,118333626,GATA64G07
122680254,122680297,TCTA017
133160282,133160311,ATA59H06
135005054,135005093,CTAT016
137742291,137742332,AFMb303zg9
17274457,17274504,AGAT142P
25403152,25403187,GATA87E02
26171276,26171319,GATA165A11
30216225,30216263,ATA65H08
31444527,31444571,ATA18C09
3859351,3859400,AFM345ta9
444336,444365,MFD455-AAT052
516999,517026,AFM026tg9
71187890,71187949,GATA7D12
77073828,77073875,GATA89A11
7929081,7929132,GATA175H06
80353538,80353565,GATA21F05
83351688,83351731,GATA22H04
92357462,92357509,AAT261
98861650,98861691,ATA18A07
