Start,End,Marker
101436628,101436671,GATA64A09
117580722,117580765,GATA71C09
120983242,120983274,ATA29C03
121328241,121328276,ATA44G07
124470649,124470693,AAC1C02
12695023,12695066,GATA84C01
127462654,127462683,ATA22D02
127955287,127955322,TACA003
129294244,129294295,GGAA23C05
130720998,130721033,ATGT006Z
132636165,132636207,AFM198zb4
19149078,19149125,GATA70E11
2201139,2201182,GATA88F09
2580526,2580569,ATAG053
26045369,26045416,GATA179E06
30206907,30206950,GATA73E11
34968797,34968838,ATA5A04
50918963,50918998,ATA20B07
55770164,55770202,ATA21A03
62995377,62995415,ATA24F10
6352401,6352452,ATCC001
66197337,66197380,TCTA021z
6679976,6680010,AFM063xf4
68752886,68752941,GATA121A08
70320297,70320348,GATA90G05
72899707,72899758,GATA87G01
76518241,76518327,GATA196C10N
7878691,7878742,ATGT009
78952324,78952359,GGAT1A4
81975315,81975394,GATA134F03
88679262,88679303,ATA80B10Z
90604987,90605042,GATA115E01
9221927,9221953,ATA31G11
94204718,94204800,GGAA2F11
99244383,99244421,TTA007
