Start,End,Marker
101955667,101955714,GATA176C01
103340539,103340578,GATA148G10
109628501,109628540,AAAT105z
11466839,11466890,GGAA20G10
119016760,119016803,GATA139A04
125429191,125429234,GATA27A12
129505860,129505911,TAGA002
13385266,13385313,AAT055Z
135698981,135699104,GATA4D07
136501921,136501972,GATA8H05
14682527,14682578,GATA056
147452576,147452639,GGAA20G04
1489651,1489682,SRA
151285357,151285404,AGAT093
155087928,155087993,GATA63F01
158702464,158702505,ATA27H09
161607671,161607726,GATA126A06
17310719,17310802,GATA11H10
175308747,175308786,GATA194A05
184127800,184127855,GATA65C03
191125479,191125505,ATA29E07
198839371,198839422,GATA149B10
213715225,213715268,GATA30E06
217711932,217711983,GATA4G12
221730443,221730472,AAT203
226164976,226165031,GATA23D03
231341641,231341676,GATA12H10
235110960,235111007,GATA23A02
237169893,237169936,GATA178G09
241409020,241409078,AGAT021
241924401,241924426,2QTEL47
29253845,29253892,GATA8F07
31854341,31854400,AGAT117
36033189,36033312,GATA86E02
3697622,3697665,GATA72G11
40997291,40997314,GATA194B06
43146408,43146463,ATA4F03
43909612,43909647,ATA47C04P
46896785,46896855,GATA174G01
50606609,50606632,ATA27D04
58607264,58607315,GATA10H05
60251439,60251482,GATA130A05
66824056,66824091,GATA66D01
68011948,68011995,GATA8F03
72912126,72912181,GATA69E12
76979697,76979744,GATA70F12
7705497,7705540,GATA28H06
78289270,78289332,ATA16D09
7937950,7938032,GATA116B01
84848329,84848412,GATA88G05
9800480,9800519,GAAT1A5
