Start,End,Marker
101955667,101955714,GATA176C01
103340539,103340578,GATA148G10
109628501,109628540,AAAT105z
119016760,119016803,GATA139A04
125429191,125429234,GATA27A12
129505860,129505911,TAGA002
13385266,13385313,AAT055Z
136501921,136501972,GATA8H05
14682527,14682578,GATA056
147452576,147452639,GGAA20G04
1489651,1489682,SRA
151285357,151285404,AGAT093
158702464,158702505,ATA27H09
161607671,161607726,GATA126A06
175308747,175308786,GATA194A05
184127800,184127855,GATA65C03
191125479,191125505,ATA29E07
198839371,198839422,GATA149B10
213715225,213715268,GATA30E06
217711932,217711983,GATA4G12
221730443,221730472,AAT203
231341641,231341676,GATA12H10
235110960,235111007,GATA23A02
237169893,237169936,GATA178G09
241924401,241924426,2QTEL47
29253845,29253892,GATA8F07
31854341,31854400,AGAT117
3697622,3697665,GATA72G11
40997291,40997314,GATA194B06
43909612,43909647,ATA47C04P
50606609,50606632,ATA27D04
60251439,60251482,GATA130A05
66824056,66824091,GATA66D01
68011948,68011995,GATA8F03
72912126,72912181,GATA69E12
7705497,7705540,GATA28H06
9800480,9800519,GAAT1A5
