Start,End,Marker
117443946,117443993,GATA6B02
11976494,11976545,GATA25C10
121382327,121382378,AAAT121
124894873,124894916,GATA7G07
13395006,13395052,GATA151F02
135279551,135279594,GATA50D10
137521266,137521317,GATA060
143143771,143143846,UT721
15065416,15065460,ATT070
16007596,16007635,TATC012
17968711,17968778,AFM123xg5
21390037,21390076,ATAA018P
21744551,21744586,AFMa127ye5
24448658,24448684,TTA024
26954396,26954431,UT7129
29998271,29998322,AATA019
32209689,32209777,GGAA20C10
4287657,4287683,ATT023
52268469,52268508,GATA8G10
55217739,55217786,GATA156H01
58018810,58018857,ATAG042
58795783,58795830,GGAA8G07
65156030,65156111,GATA41A01
72179524,72179562,AAT076
73342200,73342247,GATA14E09
9058841,9058868,ATAA009
91011023,91011066,GATA8B01
9375679,9375712,AFM193xh4
98177579,98177610,GAAT1A4
